--- Running Pine Script Logic Test over last 4 weeks ---
Processed 0 candles...
[2026-03-18 14:45:00+00:00] Candidate updated: cand_open=24831.5
[2026-03-18 15:30:00+00:00] Candidate updated: cand_open=24888.0
[2026-03-18 15:30:00+00:00] Candidate updated: cand_open=24888.0
[2026-03-18 15:43:00+00:00] Candidate updated: cand_open=24884.25
[2026-03-18 16:26:00+00:00] Candidate updated: cand_open=24889.0
[2026-03-18 16:27:00+00:00] Candidate updated: cand_open=24893.5
[2026-03-18 16:06:00+00:00] Candidate updated: cand_open=24879.25
[2026-03-18 17:02:00+00:00] Candidate updated: cand_open=24814.0
[2026-03-18 17:03:00+00:00] Candidate updated: cand_open=24822.0
[2026-03-18 17:04:00+00:00] Candidate updated: cand_open=24822.25
[2026-03-18 18:11:00+00:00] Candidate updated: cand_open=24859.0
[2026-03-18 18:12:00+00:00] Candidate updated: cand_open=24863.0
[2026-03-18 18:16:00+00:00] Candidate updated: cand_open=24828.75
[2026-03-18 17:32:00+00:00] Candidate updated: cand_open=24817.75
[2026-03-18 17:32:00+00:00] Candidate updated: cand_open=24817.75
[2026-03-18 17:12:00+00:00] Candidate updated: cand_open=24797.25
[2026-03-18 18:35:00+00:00] Candidate updated: cand_open=24794.25
[2026-03-18 18:35:00+00:00] Candidate updated: cand_open=24794.25
[2026-03-17 08:36:00+00:00] Candidate updated: cand_open=24745.0
[2026-03-17 08:38:00+00:00] Candidate updated: cand_open=24749.0
[2026-03-17 08:54:00+00:00] Candidate updated: cand_open=24750.75
[2026-03-18 19:17:00+00:00] Candidate updated: cand_open=24744.5
[2026-03-16 10:08:00+00:00] Candidate updated: cand_open=24715.75
[2026-03-18 20:07:00+00:00] Candidate updated: cand_open=24626.5
[2026-03-18 20:08:00+00:00] Candidate updated: cand_open=24628.25
[2026-03-18 20:09:00+00:00] Candidate updated: cand_open=24628.75
Processed 7000 candles...
[2026-03-18 20:52:00+00:00] Support candidate updated: cand_open=24629.25
[2026-03-18 22:09:00+00:00] Support candidate updated: cand_open=24604.25
[2026-03-18 22:38:00+00:00] Candidate updated: cand_open=24566.25
[2026-03-18 22:39:00+00:00] Candidate updated: cand_open=24568.5
[2026-03-18 23:46:00+00:00] Candidate updated: cand_open=24614.25
[2026-03-19 02:59:00+00:00] Candidate updated: cand_open=24692.75
[2026-03-19 03:43:00+00:00] Candidate updated: cand_open=24677.25
[2026-03-19 03:53:00+00:00] Candidate updated: cand_open=24672.75
[2026-03-19 04:18:00+00:00] Candidate updated: cand_open=24639.0
[2026-03-19 04:18:00+00:00] Candidate updated: cand_open=24639.0
[2026-03-19 04:22:00+00:00] Candidate updated: cand_open=24639.75
[2026-03-19 05:06:00+00:00] Candidate updated: cand_open=24625.5
[2026-03-19 05:13:00+00:00] Candidate updated: cand_open=24628.5
[2026-03-19 05:06:00+00:00] Candidate updated: cand_open=24625.5
[2026-03-19 05:13:00+00:00] Candidate updated: cand_open=24628.5
[2026-03-19 05:17:00+00:00] Candidate updated: cand_open=24629.5
[2026-03-19 05:39:00+00:00] Candidate updated: cand_open=24601.25
[2026-03-19 05:40:00+00:00] Candidate updated: cand_open=24603.5
[2026-03-19 05:45:00+00:00] Candidate updated: cand_open=24583.5
[2026-03-19 05:45:00+00:00] Candidate updated: cand_open=24583.5
[2026-03-19 07:14:00+00:00] Candidate updated: cand_open=24563.5
[2026-03-19 07:14:00+00:00] Candidate updated: cand_open=24563.5
[2026-03-19 07:36:00+00:00] Candidate updated: cand_open=24564.75
[2026-03-19 07:39:00+00:00] Candidate updated: cand_open=24565.75
[2026-03-19 07:48:00+00:00] Support candidate updated: cand_open=24587.5
[2026-03-19 07:51:00+00:00] Support candidate updated: cand_open=24587.25
[2026-03-19 07:53:00+00:00] Support candidate updated: cand_open=24583.25
[2026-03-19 08:05:00+00:00] Candidate updated: cand_open=24546.75
[2026-03-19 08:54:00+00:00] Support candidate updated: cand_open=24564.0
[2026-03-19 08:55:00+00:00] Support candidate updated: cand_open=24553.75
[2026-03-19 08:56:00+00:00] Support candidate updated: cand_open=24551.5
[2026-03-19 08:25:00+00:00] Support candidate updated: cand_open=24586.0
[2026-03-19 08:25:00+00:00] Support candidate updated: cand_open=24586.0
[2026-03-19 09:08:00+00:00] Support candidate updated: cand_open=24587.25
[2026-03-19 09:42:00+00:00] Support candidate updated: cand_open=24564.5
